task1,task2,task3,task4,task5,forward_transfer,backward_transfer,forgetting,seed,non_verbose,lr,optim_wd,optim_mom,optim_nesterov,n_epochs,batch_size,buffer_size,minibatch_size
99.90543735224587,98.7275836279733,98.82108139072966,98.91063951685697,98.67416048260343,,-0.10410591952214787,0.11592625049141247,0,True,0.01,0.0,0.0,0,10,128,1000,128
99.95271867612293,98.52073362461593,91.97204584852084,91.77749661707209,94.97621546344142,,,,0,True,0.01,0.0,0.0,0,10,128,1000,128
99.95271867612293,98.52073362461593,91.97204584852084,91.77749661707209,94.97621546344142,,,,0,True,0.01,0.0,0.0,0,10,128,1000,128
99.90543735224587,98.80104102268439,98.67529344970552,98.67249024640672,98.6396893011611,,,,0,True,0.01,0.0,0.0,0,10,128,1000,128
99.90543735224587,98.80104102268439,98.67529344970552,98.67249024640672,98.6396893011611,,,,0,True,sgd,0.01,0.0,0.0,0,10,128,1000,128
